"uri","date","title","uin"
"http://data.parliament.uk/resources/713760","2017-03-24","Local Audit (Public Access to Documents) Bill: Report stage Amendment 2","CD:2017-03-24:254"
"http://data.parliament.uk/resources/712355","2017-03-20","Draft Individual Savings Account (Amendment No.2) Regulations 2017","CD:2017-03-20:253"
"http://data.parliament.uk/resources/711238","2017-03-15","Draft Bereavement Support Payment Regulations 2017","CD:2017-03-15:250"
"http://data.parliament.uk/resources/711239","2017-03-15","Draft Sovereign Grant 2011 (Change of Percentage) Order 2017","CD:2017-03-15:251"
"http://data.parliament.uk/resources/711278","2017-03-15","Health Service Medical Supplies (Costs) Bill: Lords Amendment 3 Motion to disagree","CD:2017-03-15:252"
"http://data.parliament.uk/resources/710793","2017-03-14","Budget Resolution Motion 19: Business investment relief","CD:2017-03-14:247"
"http://data.parliament.uk/resources/710794","2017-03-14","Budget Resolution Motion 34: Insurance premium tax (standard rate)","CD:2017-03-14:248"
"http://data.parliament.uk/resources/710795","2017-03-14","Budget Resolution Motion 40: Alcoholic liquor duties (rates)","CD:2017-03-14:249"
"http://data.parliament.uk/resources/710264","2017-03-13","Reproductive Health (Access to Terminations)","CD:2017-03-13:243"
"http://data.parliament.uk/resources/710265","2017-03-13","European Union (Notification of Withdrawal) Bill: Programme (No. 2) Motion","CD:2017-03-13:244"
"http://data.parliament.uk/resources/710308","2017-03-13","EU (Notification of Withdrawal) Bill: Lords Amendment 1 Motion to disagree","CD:2017-03-13:245"
"http://data.parliament.uk/resources/710310","2017-03-13","EU (Notification of Withdrawal) Bill: Lords Amendment 2 Motion to disagree","CD:2017-03-13:246"
"http://data.parliament.uk/resources/708770","2017-03-07","Children and Social Work Bill (Lords): Report Stage New Clause 14","CD:2017-03-07:240"
"http://data.parliament.uk/resources/708773","2017-03-07","Children and Social Work Bill (Lords): Report Stage Amendment 12","CD:2017-03-07:241"
"http://data.parliament.uk/resources/708826","2017-03-07","Standing Orders (Public Business)","CD:2017-03-07:242"
"http://data.parliament.uk/resources/706377","2017-03-01","Unaccompanied Children in Greece and Italy","CD:2017-03-01:239"
"http://data.parliament.uk/resources/694163","2017-02-24","Preventing and Combating Violence Against Women and Domestic Violence (Ratification of Convention) Bill: Report Stage Amendment 1","CD:2017-02-24:234"
"http://data.parliament.uk/resources/694164","2017-02-24","Preventing and Combating Violence Against Women and Domestic Violence (Ratification of Convention) Bill: Report Stage Amendment 14","CD:2017-02-24:235"
"http://data.parliament.uk/resources/694166","2017-02-24","Preventing and Combating Violence Against Women and Domestic Violence (Ratification of Convention) Bill: Report Stage Amendment 16","CD:2017-02-24:236"
"http://data.parliament.uk/resources/694168","2017-02-24","Preventing and Combating Violence Against Women and Domestic Violence (Ratification of Convention) Bill: Third Reading: Closure motion","CD:2017-02-24:237"
"http://data.parliament.uk/resources/694170","2017-02-24","Preventing and Combating Violence Against Women and Domestic Violence (Ratification of Convention) Bill: Third Reading","CD:2017-02-24:238"
"http://data.parliament.uk/resources/692755","2017-02-22","Police Grant Report (England and Wales) 2017-18","CD:2017-02-22:232"
"http://data.parliament.uk/resources/692764","2017-02-22","Local Government Finance (England)","CD:2017-02-22:233"
"http://data.parliament.uk/resources/692257","2017-02-21","Criminal Finances Bill: Report Stage New Clause 19","CD:2017-02-21:230"
"http://data.parliament.uk/resources/692258","2017-02-21","Criminal Finances Bill: Report Stage New Clause 17","CD:2017-02-21:229"
